Order,Family ,Taxa,Endemic_Revised,
Tetraodontiformes,Monacanthidae,Cantherhines verecundus,1,
Tetraodontiformes,Monacanthidae,Monacanthidae species,0,
Tetraodontiformes,Monacanthidae,Pervagor aspricaudus,0,
Tetraodontiformes,Monacanthidae,Pervagor spilosoma,1,
Perciformes,Mullidae,Mulloidichthys flavolineatus,0,
Perciformes,Mullidae,Mulloidichthys mimicus,0,
Perciformes,Mullidae,Mulloidichthys pflugeri,0,
Perciformes,Mullidae,Mulloidichthys vanicolensis,0,
Perciformes,Mullidae,Parupeneus chrysonemus,1,
Perciformes,Mullidae,Parupeneus cyclostomus,0,
Perciformes,Mullidae,Parupeneus insularis,0,
Perciformes,Mullidae,Parupeneus multifasciatus,0,
Perciformes,Mullidae,Parupeneus pleurostigma,0,
Perciformes,Mullidae,Parupeneus porphyreus,1,
Anguilliformes,Muraenidae,Echidna nebulosa,0,
Anguilliformes,Muraenidae,Enchelycore pardalis,0,
Anguilliformes,Muraenidae,Enchelynassa canina,0,
Anguilliformes,Muraenidae,Gymnomuraena zebra,0,
Anguilliformes,Muraenidae,Gymnothorax eurostus,0,
Anguilliformes,Muraenidae,Gymnothorax flavimarginatus,0,
Anguilliformes,Muraenidae,Gymnothorax javanicus,0,
Anguilliformes,Muraenidae,Gymnothorax melatremus,0,
Anguilliformes,Muraenidae,Gymnothorax meleagris,0,
Anguilliformes,Muraenidae,Gymnothorax rueppelliae,0,
Anguilliformes,Muraenidae,Gymnothorax steindachneri,1,
Anguilliformes,Muraenidae,Gymnothorax undulatus,0,
Anguilliformes,Muraenidae,Scuticaria tigrina,0,
Anguilliformes,Ophichthidae,Myrichthys magnificus,1,
Ophidiiformes,Ophidiidae ,Brotula multibarbata,0,
Perciformes,Oplegnathidae,Oplegnathus fasciatus,0,
Perciformes,Oplegnathidae,Oplegnathus punctatus,0,
Tetraodontiformes,Ostraciidae ,Lactoria fornasini,0,
Tetraodontiformes,Ostraciidae ,Ostracion meleagris,0,
Tetraodontiformes,Ostraciidae ,Ostracion whitleyi,0,
Perciformes,Pinguipedidae,Parapercis schauinslandi,0,
Perciformes,Pomacanthidae ,Centropyge fisheri,0,
Perciformes,Pomacanthidae ,Centropyge flavissima,0,
Perciformes,Pomacanthidae ,Centropyge interrupta,0,uhy6
Perciformes,Pomacanthidae ,Centropyge loriculus,0,
Perciformes,Pomacanthidae ,Centropyge potteri,1,
Perciformes,Pomacanthidae ,Genicanthus personatus,1,
Perciformes,Pomacentridae,Abudefduf abdominalis,1,
Perciformes,Pomacentridae,Abudefduf sordidus,0,
Perciformes,Pomacentridae,Abudefduf vaigiensis,0,
Perciformes,Pomacentridae,Chromis acares,0,
Perciformes,Pomacentridae,Chromis agilis,0,
Perciformes,Pomacentridae,Chromis hanui,1,
Perciformes,Pomacentridae,Chromis leucura,0,
Perciformes,Pomacentridae,Chromis ovalis,1,
Perciformes,Pomacentridae,Chromis vanderbilti,0,
Perciformes,Pomacentridae,Chromis verater,1,
Perciformes,Pomacentridae,Dascyllus albisella,1,
Perciformes,Pomacentridae,Plectroglyphidodon imparipennis,0,
Perciformes,Pomacentridae,Plectroglyphidodon johnstonianus,0,
Perciformes,Pomacentridae,Plectroglyphidodon sindonis,1,
Perciformes,Pomacentridae,Stegastes marginatus,1,
Perciformes,Priacanthidae,Heteropriacanthus cruentatus,0,
Perciformes,Priacanthidae,Priacanthus meeki,1,
Perciformes,Scaridae ,Calotomus carolinus,0,
Perciformes,Scaridae ,Calotomus zonarchus,1,
Perciformes,Scaridae ,Chlorurus perspicillatus,1,
Perciformes,Scaridae ,Chlorurus species,0,
Perciformes,Scaridae ,Chlorurus spilurus,0,
Perciformes,Scaridae ,Scarus dubius,1,
Perciformes,Scaridae ,Scarus psittacus,0,
Perciformes,Scaridae ,Scarus rubroviolaceus,0,
Perciformes,Scaridae ,Scarus species,0,
Scorpaeniformes,Scorpaenidae,Caracanthus typicus,1,
Scorpaeniformes,Scorpaenidae,Dendrochirus barberi,1,
Scorpaeniformes,Scorpaenidae,Pterois sphex,1,
Scorpaeniformes,Scorpaenidae,Scorpaenodes parvipinnis,0,
Scorpaeniformes,Scorpaenidae,Scorpaenopsis cacopsis,1,
Scorpaeniformes,Scorpaenidae,Scorpaenopsis diabolus,0,
Scorpaeniformes,Scorpaenidae,Scorpaenopsis species,0,
Scorpaeniformes,Scorpaenidae,Sebastapistes ballieui,1,
Scorpaeniformes,Scorpaenidae,Sebastapistes coniorta,0,
Scorpaeniformes,Scorpaenidae,Taenianotus triacanthus,0,
Perciformes,Serranidae ,Cephalopholis argus,0,
Perciformes,Serranidae ,Epinephelus quernus,1,
Perciformes,Serranidae ,Pseudanthias bicolor,0,
Perciformes,Serranidae ,Pseudanthias thompsoni,1,
Perciformes,Sphyraenidae ,Sphyraena barracuda,0,
Perciformes,Sphyraenidae ,Sphyraena helleri,0,
Sygnathiformes ,Syngnathidae ,Doryrhamphus excisus,0,
Aulopiformes ,Synodontidae,Saurida flamma,0,
Aulopiformes ,Synodontidae,Saurida gracilis,0,
Aulopiformes ,Synodontidae,Synodus binotatus,0,
Aulopiformes ,Synodontidae,Synodus dermatogenys,0,
Aulopiformes ,Synodontidae,Synodus ulae,0,
Aulopiformes ,Synodontidae,Synodus variegatus,0,
Tetraodontiformes,Tetaodontidae ,Arothron hispidus,0,
Tetraodontiformes,Tetraodontidae ,Arothron meleagris,0,
Tetraodontiformes,Tetraodontidae ,Tetraodontidae species,0,
Tetraodontiformes,Tetraodontidae ,Canthigaster amboinensis,0,
Tetraodontiformes,Tetraodontidae ,Canthigaster coronata,0,
Tetraodontiformes,Tetraodontidae ,Canthigaster epilampra,0,
Tetraodontiformes,Tetraodontidae ,Canthigaster jactator,1,
Tetraodontiformes,Tetraodontidae ,Canthigaster solandri,0,
Tetraodontiformes,Tetraodontidae ,Caranx ignobilis,0,
Tetraodontiformes,Tetraodontidae ,Caranx lugubris,0,
Tetraodontiformes,Tetraodontidae ,Caranx melampygus,0,
Tetraodontiformes,Tetraodontidae ,Caranx sexfasciatus,0,
Perciformes,Zanclidae,Zanclus cornutus,0,
