"","Order","Family","Genera","Taxa","iucn_shapefile","molecular_data","iucn_names","Endemic_Revised","depth_upper","depth_lower","main_islands","nwhi","total"
"95","Perciformes","Chaetodontidae ","Hemitaurichthys","Hemitaurichthys_polylepis",1,1,"Hemitaurichthys polylepis",0,3,60,0.01427421,0.002308874,0.016583084
"96","Perciformes","Chaetodontidae ","Hemitaurichthys","Hemitaurichthys_thompsoni",1,1,"Hemitaurichthys thompsoni",0,4,300,0.075815124,0.035669164,0.111484288
"97","Perciformes","Chaetodontidae ","Heniochus","Heniochus_diphreutes",1,1,"Heniochus diphreutes",0,5,210,0.025715616,0.026199418,0.051915034
"98","Perciformes","Cheilodactylidae","Cheilodactylus","Cheilodactylus_vittatus",0,1,NA,NA,NA,NA,NA,NA,NA
"99","Perciformes","Cirrhitidae","Amblycirrhitus","Amblycirrhitus_bimacula",1,1,"Amblycirrhitus bimacula",0,0,20,0.013536212,0.013790964,0.027327176
"100","Perciformes","Cirrhitidae","Cirrhitops","Cirrhitops_fasciatus",1,0,"Cirrhitops fasciatus",1,1,52,0.465690699,0.474455021,0.940145719
"101","Perciformes","Cirrhitidae","Cirrhitus","Cirrhitus_pinnulatus",1,1,"Cirrhitus pinnulatus",0,1,23,0.014346454,0.014616455,0.028962908
"102","Perciformes","Cirrhitidae","Oxycirrhites","Oxycirrhites_typus",1,0,"Oxycirrhites typus",0,10,100,0.012505977,5.97e-05,0.012565713
"103","Perciformes","Cirrhitidae","Paracirrhites","Paracirrhites_arcatus",1,1,"Paracirrhites arcatus",0,1,91,0.012375107,0.012608007,0.024983113
"104","Perciformes","Cirrhitidae","Paracirrhites","Paracirrhites_forsteri",1,1,"Paracirrhites forsteri",0,1,35,0.010657367,0.010857939,0.021515306
"105","Perciformes","Gobiidae","Psilogobius","Psilogobius_mainlandi",0,0,NA,NA,NA,NA,NA,NA,NA
"106","Perciformes","Kuhliidae","Kuhlia","Kuhlia_sandvicensis",0,1,NA,NA,NA,NA,NA,NA,NA
"107","Perciformes","Kyphosidae","Kyphosus","Kyphosus_cinerascens",1,1,"Kyphosus cinerascens",0,1,40,0.009536771,0.009628113,0.019164885
"108","Perciformes","Kyphosidae","Kyphosus","Kyphosus_hawaiiensis",0,0,NA,NA,NA,NA,NA,NA,NA
"109","Perciformes","Kyphosidae","Kyphosus","Kyphosus_vaigiensis",0,1,NA,NA,NA,NA,NA,NA,NA
"110","Perciformes","Labridae","Anampses","Anampses_chrysocephalus",1,1,"Anampses chrysocephalus",1,12,139,0.465690699,0.47445502,0.940145719
"111","Perciformes","Labridae","Anampses","Anampses_cuvier",1,1,"Anampses cuvier",1,2,26,0.43196999,0.440099686,0.872069676
"112","Perciformes","Labridae","Bodianus","Bodianus_albotaeniatus",1,0,"Bodianus albotaeniatus",1,8,200,0.43196999,0.440099686,0.872069676
"113","Perciformes","Labridae","Cheilio","Cheilio_inermis",1,1,"Cheilio inermis",0,0,30,0.01017832,0.010369876,0.020548196
"114","Perciformes","Labridae","Cirrhilabrus","Cirrhilabrus_jordani",1,0,"Cirrhilabrus jordani",1,12,186,0.43196999,0.440099686,0.872069676
"115","Perciformes","Labridae","Coris","Coris_ballieui",1,0,"Coris ballieui",1,10,108,0.43196999,0.440099686,0.872069676
"116","Perciformes","Labridae","Coris","Coris_flavovittata",1,1,"Coris flavovittata",1,1,98,0.465690699,0.47445502,0.940145719
"117","Perciformes","Labridae","Coris","Coris_gaimard",1,1,"Coris gaimard",0,1,50,0.014767798,0.015045729,0.029813528
"118","Perciformes","Labridae","Coris","Coris_venusta",1,0,"Coris venusta",1,2,10,0.465690699,0.47445502,0.940145719
"119","Perciformes","Labridae","Cymolutes","Cymolutes_lecluse",1,0,"Cymolutes lecluse",1,5,119,0.465690699,0.47445502,0.940145719
"120","Perciformes","Labridae","Cymolutes","Cymolutes_praetextatus",1,1,"Cymolutes praetextatus",0,1,27,0.010228722,0,0.010228722
"121","Perciformes","Labridae","Gomphosus","Gomphosus_varius",1,1,"Gomphosus varius",0,1,32,0.012336356,0.012568527,0.024904882
"122","Perciformes","Labridae","Halichoeres","Halichoeres_ornatissimus",1,1,"Halichoeres ornatissimus",1,1,15,0.465690699,0.47445502,0.940145719
"123","Perciformes","Labridae","Iniistius","Iniistius_aneitensis",1,1,"Iniistius aneitensis",0,12,92,0.019291323,9.21e-05,0.01938347
"124","Perciformes","Labridae","Iniistius","Iniistius_pavo",1,1,"Iniistius pavo",0,2,100,0.010386962,0.010582445,0.020969407
"125","Perciformes","Labridae","Iniistius","Iniistius_umbrilatus",1,0,"Iniistius umbrilatus",1,6,76,0.465690699,0.47445502,0.940145719
"126","Perciformes","Labridae","Labroides","Labroides_phthirophagus",1,1,"Labroides phthirophagus",1,1,90,0.43196999,0.440099686,0.872069676
"127","Perciformes","Labridae","Macropharyngodon","Macropharyngodon_geoffroy",1,1,"Macropharyngodon geoffroy",1,6,32,0.43196999,0.440099686,0.872069676
"128","Perciformes","Labridae","Novaculichthys","Novaculichthys_taeniourus",1,1,"Novaculichthys taeniourus",0,1,35,0.009657618,0.009839375,0.019496994
"129","Perciformes","Labridae","Oxycheilinus","Oxycheilinus_bimaculatus",1,1,"Oxycheilinus bimaculatus",0,2,110,0.012947162,0.013190828,0.02613799
"130","Perciformes","Labridae","Oxycheilinus","Oxycheilinus_unifasciatus",1,1,"Oxycheilinus unifasciatus",0,1,161,0.014813332,0.01509212,0.029905452
"131","Perciformes","Labridae","Pseudocheilinus","Pseudocheilinus_evanidus",1,1,"Pseudocheilinus evanidus",0,3,143,0.012334992,0.012567138,0.02490213
"132","Perciformes","Labridae","Pseudocheilinus","Pseudocheilinus_octotaenia",1,1,"Pseudocheilinus octotaenia",0,2,50,0.014447543,0.014719447,0.029166991
"133","Perciformes","Labridae","Pseudocheilinus","Pseudocheilinus_tetrataenia",1,1,"Pseudocheilinus tetrataenia",0,6,44,0.049821449,0.038390059,0.088211509
"134","Perciformes","Labridae","Pseudojuloides","Pseudojuloides_cerasinus",1,1,"Pseudojuloides cerasinus",0,3,61,0.022968234,0.003715155,0.02668339
"135","Perciformes","Labridae","Stethojulis","Stethojulis_balteata",1,1,"Stethojulis balteata",1,2,15,0.43196999,0.440099686,0.872069676
