Order,Family,Genera,iucn_names,Taxa,iucn_shapefile,molecular_data,depth_upper,depth_lower,nwhi,main_islands,total_prange,endemicity,missing_species
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon reticulatus,Chaetodon_reticulatus,1,1,1,30,9.17E-05,0.019958904,0.020050641,0,0
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon tinkeri,Chaetodon_tinkeri,1,1,6,160,NA,NA,NA,NA,1
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon trifascialis,Chaetodon_trifascialis,1,1,2,30,0.003133612,0,0.003133612,0,0
Perciformes,Chaetodontidae ,Chaetodon,Chaetodon unimaculatus,Chaetodon_unimaculatus,1,1,1,60,0.01209498,0.011225649,0.023320629,0,0
Perciformes,Labridae,Cheilio,Cheilio inermis,Cheilio_inermis,1,1,0,30,0.011335612,0.010520783,0.021856395,0,0
Perciformes,Scaridae ,Chlorurus,Chlorurus perspicillatus,Chlorurus_perspicillatus,1,0,1,71,0.481085715,0.446504186,0.927589902,1,1
Perciformes,Scaridae ,Chlorurus,Chlorurus spilurus,Chlorurus_spilurus,1,1,1,30,0.013483771,0.012514527,0.025998297,0,0
Perciformes,Labridae,Cirrhilabrus,Cirrhilabrus jordani,Cirrhilabrus_jordani,1,0,12,186,NA,NA,NA,NA,1
Perciformes,Cirrhitidae,Cirrhitops,Cirrhitops fasciatus,Cirrhitops_fasciatus,1,0,1,52,0.518640527,0.481359472,0.999999999,1,1
Perciformes,Cirrhitidae,Cirrhitus,Cirrhitus pinnulatus,Cirrhitus_pinnulatus,1,1,1,23,0.01597767,0.014829159,0.030806829,0,0
Perciformes,Blenniidae ,Cirripectes,Cirripectes obscurus,Cirripectes_obscurus,1,0,0,6,0.518640526,0.481359473,0.999999999,1,1
Perciformes,Blenniidae ,Cirripectes,Cirripectes vanderbilti,Cirripectes_vanderbilti,1,0,1,11,0.481085715,0.446504186,0.927589902,1,1
Perciformes,Labridae,Coris,Coris ballieui,Coris_ballieui,1,0,10,108,0.481085715,0.446504186,0.927589902,1,1
Perciformes,Labridae,Coris,Coris flavovittata,Coris_flavovittata,1,1,1,98,0.518640526,0.481359473,0.999999999,1,0
Perciformes,Labridae,Coris,Coris gaimard,Coris_gaimard,1,1,1,50,0.016446923,0.01526468,0.031711603,0,0
Perciformes,Labridae,Coris,Coris venusta,Coris_venusta,1,0,2,10,0.518640526,0.481359473,0.999999999,1,1
Perciformes,Acanthuridae,Ctenochaetus,Ctenochaetus hawaiiensis,Ctenochaetus_hawaiiensis,1,1,1,61,0.005918737,0.035523905,0.041442642,0,0
Perciformes,Acanthuridae,Ctenochaetus,Ctenochaetus strigosus,Ctenochaetus_strigosus,1,1,1,113,0.4828176,0.44494324,0.927760839,1,0
Perciformes,Labridae,Cymolutes,Cymolutes lecluse,Cymolutes_lecluse,1,0,5,119,0.518640526,0.481359473,0.999999999,1,1
Perciformes,Labridae,Cymolutes,Cymolutes praetextatus,Cymolutes_praetextatus,1,1,1,27,0,0.010511877,0.010511877,0,0
Scorpaeniformes,Scorpaenidae,Dendrochirus,Dendrochirus barberi,Dendrochirus_barberi,1,0,0,134,0.481085715,0.446504186,0.927589902,1,1
Tetraodontiformes,Diodontidae,Diodon,Diodon holocanthus,Diodon_holocanthus,1,1,2,100,0.006739103,0.006557763,0.013296866,0,0
Tetraodontiformes,Diodontidae,Diodon,Diodon hystrix,Diodon_hystrix,1,1,2,50,0.0067656,0.006583496,0.013349096,0,0
Anguilliformes,Muraenidae,Echidna ,Echidna nebulosa,Echidna_nebulosa,1,1,1,48,0.009455981,0.009273977,0.018729958,0,0
Anguilliformes,Muraenidae,Enchelycore,Enchelycore pardalis,Enchelycore_pardalis,1,0,8,60,0.06053246,0.059367355,0.119899815,0,1
Perciformes,Blenniidae ,Entomacrodus,Entomacrodus marmoratus,Entomacrodus_marmoratus,1,0,0,6,0.518640526,0.481359473,0.999999999,1,1
Perciformes,Blenniidae ,Epibulus,Epibulus insidiator,Epibulus_insidiator,1,1,1,42,0.011461286,0.004362158,0.015823444,0,0
Perciformes,Blenniidae ,Exallias,Exallias brevis,Exallias_brevis,1,0,3,20,0.012514876,0.011615278,0.024130154,0,1
Sygnathiformes ,Fistulariidae,Fistularia,Fistularia commersonii,Fistularia_commersonii,1,1,0,132,0.009116499,0.008941028,0.018057527,0,0
Perciformes,Chaetodontidae ,Forcipiger,Forcipiger flavissimus,Forcipiger_flavissimus,1,1,2,145,0.010425054,0.009675752,0.020100806,0,0
Perciformes,Chaetodontidae ,Forcipiger,Forcipiger longirostris,Forcipiger_longirostris,1,1,2,208,NA,NA,NA,NA,1
Perciformes,Pomacanthidae ,Genicanthus,Genicanthus personatus,Genicanthus_personatus,1,0,10,150,0.518640526,0.481359473,0.999999999,1,1
Perciformes,Labridae,Gomphosus,Gomphosus varius,Gomphosus_varius,1,1,1,32,0.013739021,0.012751428,0.026490449,0,0
Perciformes,Microdesmidae,Gunnellichthys,Gunnellichthys curiosus,Gunnellichthys_curiosus,1,0,0,60,0.003210952,0.019340311,0.022551264,0,1
Anguilliformes,Muraenidae,Gymnomuaena,Gymnomuraena zebra,Gymnomuraena_zebra,1,1,3,50,0.011403693,0.0111842,0.022587892,0,0
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax eurostus,Gymnothorax_eurostus,1,1,0,74,0.069534131,0.068195765,0.137729896,0,0
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax flavimarginatus,Gymnothorax_flavimarginatus,1,1,1,150,0.009950917,0.009759387,0.019710304,0,0
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax javanicus,Gymnothorax_javanicus,1,1,0,50,0.010432278,0.010231482,0.02066376,0,0
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax melatremus,Gymnothorax_melatremus,1,1,1,58,0.011257619,0.011040937,0.022298556,0,0
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax meleagris,Gymnothorax_meleagris,1,1,1,51,0.012066461,0.011834211,0.023900671,0,0
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax rueppelliae,Gymnothorax_rueppelliae,1,1,1,40,0.004928923,0.010676481,0.015605404,0,0
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax steindachneri,Gymnothorax_steindachneri,1,0,5,124,0.504858662,0.495141338,1,1,1
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax undulatus,Gymnothorax_undulatus,1,1,9,110,0.009627086,0.009441788,0.019068874,0,0
Perciformes,Labridae,Halichoeres,Halichoeres ornatissimus,Halichoeres_ornatissimus,1,1,1,15,0.518640526,0.481359473,0.999999999,1,0
Perciformes,Chaetodontidae ,Hemitaurichthys,Hemitaurichthys polylepis,Hemitaurichthys_polylepis,1,1,3,60,0.002449589,0.01475451,0.017204099,0,0
Perciformes,Chaetodontidae ,Hemitaurichthys,Hemitaurichthys thompsoni,Hemitaurichthys_thompsoni,1,1,4,300,NA,NA,NA,NA,1
Perciformes,Chaetodontidae ,Heniochus,Heniochus diphreutes,Heniochus_diphreutes,1,1,5,210,NA,NA,NA,NA,1
Perciformes,Priacanthidae,Heteropriacanthus,Heteropriacanthus cruentatus,Heteropriacanthus_cruentatus,1,1,3,300,NA,NA,NA,NA,1
