Order,Family ,Genera,Taxa,Endemic_Revised,iucn_shapefile,molecular_data,depth_min,depth_max,trophic_level,activity,body_size,larval_dispersal,PLD
Perciformes,Acanthuridae,Ctenochaetus,Ctenochaetus_strigosus,1,1,1,,,,,,,
Perciformes,Labridae,Cymolutes,Cymolutes_praetextatus,0,1,1,,,,,,,
Tetraodontiformes,Diodontidae,Diodon,Diodon_holocanthus,0,1,1,,,,,,,
Tetraodontiformes,Diodontidae,Diodon,Diodon_hystrix,0,1,1,,,,,,,
Sygnathiformes ,Syngnathidae ,Doryrhamphus ,Doryrhamphus_excisus_excisus,0,1,1,,,,,,,
Anguilliformes,Muraenidae,Echidna ,Echidna_nebulosa,0,1,1,,,,,,,
Perciformes,Blenniidae ,Epibulus,Epibulus_insidiator,0,1,1,,,,,,,
Sygnathiformes ,Fistulariidae,Fistularia,Fistularia_commersonii,0,1,1,,,,,,,
Perciformes,Chaetodontidae ,Forcipiger,Forcipiger_flavissimus,0,1,1,,,,,,,
Perciformes,Chaetodontidae ,Forcipiger,Forcipiger_longirostris,0,1,1,,,,,,,
Perciformes,Labridae,Gomphosus,Gomphosus_varius,0,1,1,,,,,,,
Anguilliformes,Muraenidae,Gymnomuaena,Gymnomuraena_zebra,0,1,1,,,,,,,
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax_eurostus,0,1,1,,,,,,,
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax_flavimarginatus,0,1,1,,,,,,,
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax_javanicus,0,1,1,,,,,,,
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax_melatremus,0,1,1,,,,,,,
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax_meleagris,0,1,1,,,,,,,
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax_rueppelliae,0,1,1,,,,,,,
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax_undulatus,0,1,1,,,,,,,
Perciformes,Labridae,Halichoeres,Halichoeres_ornatissimus,1,1,1,,,,,,,
Perciformes,Chaetodontidae ,Hemitaurichthys,Hemitaurichthys_polylepis,0,1,1,,,,,,,
Perciformes,Chaetodontidae ,Hemitaurichthys,Hemitaurichthys_thompsoni,0,1,1,,,,,,,
Perciformes,Chaetodontidae ,Heniochus,Heniochus_diphreutes,0,1,1,,,,,,,
Perciformes,Priacanthidae,Heteropriacanthus,Heteropriacanthus_cruentatus,0,1,1,,,,,,,
Perciformes,Serranidae ,Hyporthodus,Hyporthodus_quernus,1,1,1,,,,,,,
Perciformes,Labridae,Iniistius,Iniistius_aneitensis,0,1,1,,,,,,,
Perciformes,Labridae,Iniistius,Iniistius_pavo,0,1,1,,,,,,,
Perciformes,Kyphosidae,Kyphosus,Kyphosus_cinerascens,0,1,1,,,,,,,
Perciformes,Labridae,Labroides,Labroides_phthirophagus,1,1,1,,,,,,,
Perciformes,Lutjanidae ,Lutjanus,Lutjanus_fulvus,0,1,1,,,,,,,
Perciformes,Lutjanidae ,Lutjanus,Lutjanus_kasmira,0,1,1,,,,,,,
Perciformes,Labridae,Macropharyngodon,Macropharyngodon_geoffroy,1,1,1,,,,,,,
Tetraodontiformes,Balistidae ,Melichthys,Melichthys_niger,0,1,1,,,,,,,
Perciformes,Lethrinidae,Monotaxi,Monotaxis_grandoculis,0,1,1,,,,,,,
Perciformes,Mullidae,Mulloidichthys,Mulloidichthys_flavolineatus,0,1,1,,,,,,,
Perciformes,Mullidae,Mulloidichthys,Mulloidichthys_vanicolensis,0,1,1,,,,,,,
Beryciformes,Holocentridae ,Myripristis,Myripristis_amaena,0,1,1,,,,,,,
Beryciformes,Holocentridae ,Myripristis,Myripristis_berndti,0,1,1,,,,,,,
Beryciformes,Holocentridae ,Myripristis,Myripristis_chryseres,0,1,1,,,,,,,
Beryciformes,Holocentridae ,Myripristis,Myripristis_kuntee,0,1,1,,,,,,,
Beryciformes,Holocentridae ,Myripristis,Myripristis_vittata,0,1,1,,,,,,,
Perciformes,Acanthuridae,Naso,Naso_annulatus,0,1,1,,,,,,,
Perciformes,Acanthuridae,Naso,Naso_brevirostris,0,1,1,,,,,,,
Perciformes,Acanthuridae,Naso,Naso_caesius,0,1,1,,,,,,,
Perciformes,Acanthuridae,Naso,Naso_hexacanthus,0,1,1,,,,,,,
Perciformes,Acanthuridae,Naso,Naso_lituratus,0,1,1,,,,,,,
Perciformes,Acanthuridae,Naso,Naso_maculatus,0,1,1,,,,,,,
Perciformes,Acanthuridae,Naso,Naso_unicornis,0,1,1,,,,,,,
Perciformes,Microdesmidae,Nemateleotris,Nemateleotris_magnifica,0,1,1,,,,,,,
Beryciformes,Holocentridae ,Neoniphon,Neoniphon_aurolineatus,0,1,1,,,,,,,
Beryciformes,Holocentridae ,Neoniphon,Neoniphon_sammara,0,1,1,,,,,,,
Perciformes,Labridae,Novaculichthys,Novaculichthys_taeniourus,0,1,1,,,,,,,
Perciformes,Labridae,Oxycheilinus,Oxycheilinus_bimaculatus,0,1,1,,,,,,,
Perciformes,Labridae,Oxycheilinus,Oxycheilinus_unifasciatus,0,1,1,,,,,,,
Perciformes,Cirrhitidae,Paracirrhites,Paracirrhites_arcatus,0,1,1,,,,,,,
Perciformes,Cirrhitidae,Paracirrhites,Paracirrhites_forsteri,0,1,1,,,,,,,
Perciformes,Mullidae,Parupeneus,Parupeneus_chrysonemus,1,1,1,,,,,,,
Perciformes,Mullidae,Parupeneus,Parupeneus_cyclostomus,0,1,1,,,,,,,
Perciformes,Mullidae,Parupeneus,Parupeneus_insularis,0,1,1,,,,,,,
Perciformes,Mullidae,Parupeneus,Parupeneus_multifasciatus,0,1,1,,,,,,,
Perciformes,Mullidae,Parupeneus,Parupeneus_pleurostigma,0,1,1,,,,,,,
Perciformes,Priacanthidae,Priacanthus,Priacanthus_meeki,1,1,1,,,,,,,
Perciformes,Apogonidae ,Pristiapogon,Pristiapogon_kallopterus,0,1,1,,,,,,,
Beryciformes,Holocentridae ,Pristilepis,Pristilepis_oligolepis,0,1,0,,,,,,,
Perciformes,Serranidae ,Pseudanthias,Pseudanthias_bicolor,0,1,0,,,,,,,
Perciformes,Serranidae ,Pseudanthias,Pseudanthias_thompsoni,1,1,0,,,,,,,
Carangiformes,Carangidae ,Pseudocaranx,Pseudocaranx_dentex,0,1,1,,,,,,,
Perciformes,Labridae,Pseudocheilinus,Pseudocheilinus_evanidus,0,1,1,,,,,,,
Perciformes,Labridae,Pseudocheilinus,Pseudocheilinus_octotaenia,0,1,1,,,,,,,
Perciformes,Labridae,Pseudocheilinus,Pseudocheilinus_tetrataenia,0,1,1,,,,,,,
Perciformes,Labridae,Pseudojuloides,Pseudojuloides_cerasinus,0,1,1,,,,,,,
Perciformes,Microdesmidae,Ptereleotris,Ptereleotris_heteroptera,0,1,1,,,,,,,
Beryciformes,Holocentridae ,Sargocentron,Sargocentron_diadema,0,1,1,,,,,,,
Beryciformes,Holocentridae ,Sargocentron,Sargocentron_punctatissimum,0,1,1,,,,,,,
Beryciformes,Holocentridae ,Sargocentron,Sargocentron_spiniferum,0,1,1,,,,,,,
Beryciformes,Holocentridae ,Sargocentron,Sargocentron_tiere,0,1,1,,,,,,,
